	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Ier22	7.62E-32	0.953536195	1	0.807	1.52E-28	7	Ier2
Rsrp11	1.10E-31	0.920919492	0.982	0.807	2.19E-28	7	Rsrp1
2-Jun	1.87E-30	1.119724817	0.991	0.823	3.74E-27	7	Jun
Klf4	3.26E-30	0.89325174	0.836	0.426	6.51E-27	7	Klf4
Ubc1	6.44E-30	0.770125687	1	0.834	1.29E-26	7	Ubc
Adrb21	7.08E-30	1.141247089	0.891	0.576	1.42E-26	7	Adrb2
Skil2	1.92E-29	0.767051439	0.964	0.669	3.83E-26	7	Skil
Brd21	1.78E-28	0.858894868	0.918	0.612	3.55E-25	7	Brd2
Rrad2	2.63E-28	1.162398281	0.882	0.584	5.26E-25	7	Rrad
Mafb2	5.70E-27	0.822553754	0.964	0.764	1.14E-23	7	Mafb
Usp23	2.76E-25	0.759884057	0.882	0.583	5.51E-22	7	Usp2
Tbc1d10a1	2.84E-25	0.664775445	0.836	0.478	5.68E-22	7	Tbc1d10a
Mob3c2	2.94E-25	0.783245254	0.818	0.517	5.87E-22	7	Mob3c
Tubb2a	7.52E-25	0.882135874	0.882	0.68	1.50E-21	7	Tubb2a
Dusp13	3.95E-24	0.873823938	0.973	0.801	7.90E-21	7	Dusp1
Snhg121	3.99E-24	0.726469897	0.9	0.637	7.98E-21	7	Snhg12
Trim471	1.37E-23	0.732085805	0.8	0.552	2.75E-20	7	Trim47
Atp6v1b21	1.24E-22	0.702898594	0.864	0.645	2.48E-19	7	Atp6v1b2
Irf2bpl3	1.94E-22	0.679235398	0.773	0.445	3.87E-19	7	Irf2bpl
Fos3	2.60E-22	0.862808607	0.982	0.72	5.20E-19	7	Fos
Trib12	3.55E-22	0.564744927	0.882	0.59	7.10E-19	7	Trib1
Atf32	3.66E-22	0.821525787	0.991	0.739	7.32E-19	7	Atf3
Sertad11	1.07E-21	0.730764079	0.909	0.719	2.13E-18	7	Sertad1
Lpin21	1.64E-21	0.617729728	0.836	0.571	3.28E-18	7	Lpin2
Btg23	3.17E-21	0.788304299	0.982	0.745	6.34E-18	7	Btg2
Casp41	4.87E-21	0.790914828	0.827	0.616	9.75E-18	7	Casp4
C3ar12	5.87E-21	0.63135942	0.982	0.869	1.17E-17	7	C3ar1
Basp12	6.08E-21	0.595107705	0.955	0.817	1.22E-17	7	Basp1
St3gal62	1.19E-20	0.692935403	0.836	0.573	2.39E-17	7	St3gal6
Sqstm12	1.26E-20	0.632990619	0.991	0.926	2.53E-17	7	Sqstm1
F11r4	4.18E-20	0.618129792	0.918	0.759	8.37E-17	7	F11r
Tgfbr13	7.33E-20	0.687297767	0.927	0.724	1.47E-16	7	Tgfbr1
Mcl12	1.09E-19	0.591049522	0.964	0.696	2.19E-16	7	Mcl1
Ddit31	1.21E-19	0.672152232	0.855	0.638	2.43E-16	7	Ddit3
Rassf11	1.31E-19	0.608655499	0.873	0.656	2.62E-16	7	Rassf1
Cebpa1	5.33E-19	0.557918204	0.718	0.443	1.07E-15	7	Cebpa
H2-Q41	7.01E-19	0.575601946	0.864	0.576	1.40E-15	7	H2-Q4
Fosb2	1.05E-18	0.699941168	0.8	0.561	2.10E-15	7	Fosb
Lgmn3	1.10E-18	0.458905607	0.991	0.974	2.20E-15	7	Lgmn
Zfp36l22	2.38E-18	0.675309737	0.809	0.586	4.76E-15	7	Zfp36l2
Frmd4a2	2.49E-18	0.573586265	0.8	0.512	4.98E-15	7	Frmd4a
Cebpb2	4.16E-18	0.546827853	0.973	0.813	8.33E-15	7	Cebpb
Mylip4	6.83E-18	0.607519395	0.891	0.686	1.37E-14	7	Mylip
Mertk4	6.91E-18	0.48490811	0.791	0.538	1.38E-14	7	Mertk
Tmem1193	9.10E-18	0.513739773	0.945	0.614	1.82E-14	7	Tmem119
Cd833	9.69E-18	0.592684577	1	0.796	1.94E-14	7	Cd83
Mbnl2	5.22E-17	0.401039272	0.891	0.664	1.04E-13	7	Mbnl2
P2ry124	5.36E-17	0.565067141	0.964	0.683	1.07E-13	7	P2ry12
Glul3	7.76E-17	0.499683227	0.955	0.751	1.55E-13	7	Glul
Tbpl12	9.20E-17	0.610509252	0.809	0.545	1.84E-13	7	Tbpl1
Siglech4	1.03E-16	0.507171507	0.964	0.772	2.06E-13	7	Siglech
Fcgr2b3	1.24E-16	0.497985583	0.973	0.742	2.47E-13	7	Fcgr2b
Arl13b1	2.46E-16	0.6741187	0.709	0.476	4.93E-13	7	Arl13b
Tgif12	4.15E-16	0.568187636	0.945	0.759	8.30E-13	7	Tgif1
Icam13	5.70E-16	0.549672233	0.882	0.616	1.14E-12	7	Icam1
Dusp18	1.36E-15	0.319061103	0.545	0.312	2.72E-12	7	Dusp18
Clip11	1.47E-15	0.563217986	0.682	0.436	2.94E-12	7	Clip1
Nav34	1.53E-15	0.54597909	0.782	0.587	3.06E-12	7	Nav3
Cx3cr14	1.55E-15	0.508139007	0.991	0.692	3.10E-12	7	Cx3cr1
Hexb4	1.56E-15	0.480384544	1	0.928	3.12E-12	7	Hexb
Tnfrsf12a1	2.05E-15	0.378584861	0.718	0.426	4.09E-12	7	Tnfrsf12a
Herpud12	2.07E-15	0.481668611	0.964	0.763	4.13E-12	7	Herpud1
Ptgs13	2.69E-15	0.504292956	0.909	0.635	5.38E-12	7	Ptgs1
Nfkb12	5.13E-15	0.559269026	0.755	0.501	1.03E-11	7	Nfkb1
Peli11	6.73E-15	0.496506699	0.818	0.602	1.35E-11	7	Peli1
Pcf111	7.10E-15	0.527329969	0.709	0.427	1.42E-11	7	Pcf11
AI4676062	7.94E-15	0.639170238	0.709	0.5	1.59E-11	7	AI467606
Selplg4	8.66E-15	0.490017747	0.973	0.717	1.73E-11	7	Selplg
Plekho12	8.93E-15	0.554696185	0.855	0.693	1.79E-11	7	Plekho1
Arl4c1	1.16E-14	0.444926126	0.8	0.593	2.32E-11	7	Arl4c
Hpgd2	1.25E-14	0.820284039	0.809	0.649	2.50E-11	7	Hpgd
Tifa1	1.42E-14	0.503131203	0.809	0.627	2.84E-11	7	Tifa
Gpr344	1.44E-14	0.551098726	0.945	0.75	2.89E-11	7	Gpr34
Hpgds3	1.90E-14	0.470318144	0.945	0.694	3.79E-11	7	Hpgds
Ppp1r101	2.14E-14	0.524152645	0.809	0.568	4.28E-11	7	Ppp1r10
Nrros	3.90E-14	0.501658865	0.818	0.592	7.80E-11	7	Nrros
Epb41l23	5.22E-14	0.447659762	0.909	0.745	1.04E-10	7	Epb41l2
Col27a12	5.61E-14	0.423017796	0.6	0.316	1.12E-10	7	Col27a1
Tuba1c2	7.20E-14	0.468106462	0.9	0.651	1.44E-10	7	Tuba1c
Dnaja11	1.12E-13	0.512936124	0.936	0.775	2.25E-10	7	Dnaja1
Olfml35	3.25E-13	0.467140734	0.955	0.785	6.51E-10	7	Olfml3
Relb	3.95E-13	0.423877857	0.8	0.529	7.90E-10	7	Relb
Wdr26	4.14E-13	0.411560877	0.709	0.477	8.28E-10	7	Wdr26
Agmo1	6.15E-13	0.544602621	0.645	0.464	1.23E-09	7	Agmo
Nfe2l22	9.41E-13	0.427515617	0.936	0.74	1.88E-09	7	Nfe2l2
Sat11	1.26E-12	0.367938308	0.991	0.925	2.52E-09	7	Sat1
Marcksl11	2.02E-12	0.658807705	0.909	0.733	4.04E-09	7	Marcksl1
Bbc3	3.12E-12	0.627710486	0.655	0.503	6.25E-09	7	Bbc3
Dgat2	3.83E-12	0.377081386	0.545	0.383	7.65E-09	7	Dgat2
Dusp61	5.30E-12	0.501731796	0.591	0.39	1.06E-08	7	Dusp6
Mitf1	6.84E-12	0.408453218	0.682	0.53	1.37E-08	7	Mitf
Runx11	7.23E-12	0.376659783	0.845	0.621	1.45E-08	7	Runx1
Ctsc2	1.40E-11	0.365746891	0.964	0.785	2.80E-08	7	Ctsc
Nfkbiz2	1.48E-11	0.539095695	0.9	0.728	2.96E-08	7	Nfkbiz
Lag34	1.86E-11	0.460370177	0.891	0.731	3.72E-08	7	Lag3
Tmem1401	2.97E-11	0.404173198	0.636	0.486	5.94E-08	7	Tmem140
Mid1ip11	3.27E-11	0.44242148	0.673	0.457	6.54E-08	7	Mid1ip1
Cited21	6.41E-11	0.35427865	0.727	0.528	1.28E-07	7	Cited2
Ccr52	8.73E-11	0.452269223	0.736	0.577	1.75E-07	7	Ccr5
Cebpd1	1.01E-10	0.355039453	0.773	0.64	2.01E-07	7	Cebpd
Klf7	1.30E-10	0.421613254	0.636	0.425	2.60E-07	7	Klf7
Jmjd1c2	1.44E-10	0.380837553	0.727	0.553	2.87E-07	7	Jmjd1c
Spint12	4.64E-10	0.364890876	0.8	0.654	9.28E-07	7	Spint1
Rel2	7.41E-10	0.354623008	0.891	0.722	1.48E-06	7	Rel
Zfp363	7.83E-10	0.384675073	1	0.852	1.57E-06	7	Zfp36
C5ar12	9.02E-10	0.495686367	0.927	0.803	1.80E-06	7	C5ar1
Neurl3	1.04E-09	0.364691702	0.745	0.597	2.07E-06	7	Neurl3
Arf21	1.04E-09	0.49185018	0.7	0.542	2.08E-06	7	Arf2
Syngr21	1.11E-09	0.315389301	0.918	0.762	2.21E-06	7	Syngr2
Ctsl4	2.07E-09	0.348382641	0.991	0.875	4.14E-06	7	Ctsl
Rgs3	2.53E-09	0.491921229	0.618	0.515	5.05E-06	7	Rgs3
Fcgr35	2.81E-09	0.353317867	0.991	0.905	5.63E-06	7	Fcgr3
Zfp36l11	2.86E-09	0.439749556	0.827	0.692	5.72E-06	7	Zfp36l1
Nfic1	3.77E-09	0.422341551	0.745	0.608	7.55E-06	7	Nfic
Smad71	3.82E-09	0.272011859	0.645	0.468	7.64E-06	7	Smad7
Sparc4	4.78E-09	0.364981447	1	0.859	9.56E-06	7	Sparc
Nlrp32	7.34E-09	0.32858372	0.755	0.619	1.47E-05	7	Nlrp3
1810032O08Rik1	7.83E-09	0.397118759	0.645	0.503	1.57E-05	7	1810032O08Rik
Creb51	8.15E-09	0.481677066	0.555	0.388	1.63E-05	7	Creb5
Pfkfb31	8.54E-09	0.25523356	0.718	0.554	1.71E-05	7	Pfkfb3
Bcl32	9.29E-09	0.358582385	0.755	0.574	1.86E-05	7	Bcl3
Zfand52	1.21E-08	0.294706735	0.909	0.716	2.41E-05	7	Zfand5
Maf2	1.41E-08	0.340151663	0.7	0.549	2.81E-05	7	Maf
Lmna	1.61E-08	0.395437361	0.691	0.57	3.23E-05	7	Lmna
Cd814	1.95E-08	0.316842733	1	0.915	3.90E-05	7	Cd81
Pnp1	2.70E-08	0.331920579	0.845	0.724	5.41E-05	7	Pnp
Ltc4s4	2.78E-08	0.313859882	0.873	0.691	5.56E-05	7	Ltc4s
Kdm6b2	3.17E-08	0.278027263	0.8	0.601	6.33E-05	7	Kdm6b
Gm462242	3.63E-08	0.421460568	0.673	0.543	7.27E-05	7	Gm46224
Egr12	4.28E-08	0.698861608	0.827	0.655	8.56E-05	7	Egr1
Vps37b	4.54E-08	0.259492346	0.618	0.456	9.09E-05	7	Vps37b
Rgs21	4.64E-08	0.345619322	0.791	0.674	9.28E-05	7	Rgs2
Rnase43	5.84E-08	0.286978399	0.873	0.627	0.000116804	7	Rnase4
Nab21	6.53E-08	0.493177214	0.636	0.476	0.000130609	7	Nab2
Itgam4	7.96E-08	0.38053381	0.782	0.677	0.000159281	7	Itgam
Arhgap452	8.87E-08	0.296327347	0.745	0.596	0.000177369	7	Arhgap45
Plaur2	1.12E-07	0.311499081	0.736	0.519	0.00022391	7	Plaur
Myo1f1	1.45E-07	0.416289995	0.664	0.547	0.000289257	7	Myo1f
Errfi1	1.49E-07	0.30596263	0.473	0.347	0.000297772	7	Errfi1
Rab202	1.73E-07	0.363213138	0.809	0.702	0.000346478	7	Rab20
Slc3a21	2.15E-07	0.309580698	0.973	0.851	0.000430531	7	Slc3a2
Cass4	3.52E-07	0.276887882	0.555	0.432	0.000704459	7	Cass4
Nupr1	3.56E-07	0.384553128	0.691	0.593	0.000711951	7	Nupr1
Zfp292	3.57E-07	0.253305081	0.645	0.503	0.00071382	7	Zfp292
Nfam11	4.48E-07	0.266978948	0.609	0.443	0.000897	7	Nfam1
P2rx41	6.22E-07	0.294822323	0.727	0.599	0.00124398	7	P2rx4
Itgav1	7.95E-07	0.290147451	0.664	0.532	0.001590768	7	Itgav
Tagln2	1.09E-06	0.379393699	0.727	0.574	0.002175231	7	Tagln2
Plin21	1.11E-06	0.276320201	0.791	0.641	0.002219282	7	Plin2
Plxdc24	1.50E-06	0.285666852	0.709	0.554	0.003005569	7	Plxdc2
Tsc22d2	1.54E-06	0.396041478	0.582	0.496	0.003083506	7	Tsc22d2
Nasp	1.63E-06	0.304107503	0.582	0.448	0.003256173	7	Nasp
Snx24	1.79E-06	0.36553589	0.6	0.523	0.003581274	7	Snx24
Txnip2	2.05E-06	0.252140542	0.736	0.61	0.004102466	7	Txnip
Plk3	2.45E-06	0.514143849	0.636	0.549	0.00490399	7	Plk3
Apoe4	3.79E-06	0.284622065	1	0.902	0.007576507	7	Apoe
Fam110a1	4.24E-06	0.338478302	0.491	0.372	0.008473834	7	Fam110a
Sowahc1	4.26E-06	0.280779783	0.582	0.48	0.008517876	7	Sowahc
Dock101	4.97E-06	0.271224546	0.618	0.508	0.009947064	7	Dock10
Acox3	5.15E-06	0.292037268	0.573	0.474	0.010306495	7	Acox3
Ecscr4	5.80E-06	0.281528289	0.718	0.564	0.011592273	7	Ecscr
Ppfia44	5.92E-06	0.269509536	0.809	0.691	0.011833986	7	Ppfia4
Dnajb1	6.27E-06	0.417401306	0.827	0.717	0.012539947	7	Dnajb1
Atp2b1	7.44E-06	0.250265501	0.791	0.713	0.014883878	7	Atp2b1
Il1b2	1.36E-05	0.366514892	0.773	0.698	0.027225679	7	Il1b
Hspa51	1.59E-05	0.254484567	0.927	0.818	0.031851459	7	Hspa5
Kctd123	2.82E-05	0.250098508	0.736	0.582	0.056456419	7	Kctd12
Havcr2	5.05E-05	0.304385403	0.582	0.535	0.100994411	7	Havcr2
Gch11	9.39E-05	0.288360694	0.536	0.42	0.187745449	7	Gch1
Tlr22	0.000146176	0.339645377	0.636	0.577	0.292352374	7	Tlr2
Slc25a25	0.000172139	0.313363203	0.545	0.466	0.344278337	7	Slc25a25
Slco2b13	0.000176201	0.266729935	0.664	0.617	0.352402036	7	Slco2b1
Rnf19b	0.000197933	0.304920091	0.582	0.508	0.395865127	7	Rnf19b
Ddx3y	0.000341878	0.299097644	0.573	0.552	0.683756129	7	Ddx3y
Eif2s3y1	0.000804731	0.290837349	0.673	0.618	1	7	Eif2s3y
Polr2a1	0.001396021	0.367020907	0.609	0.55	1	7	Polr2a
Dctn3	0.001570639	0.303382545	0.718	0.673	1	7	Dctn3
Socs31	0.001679452	0.279828025	0.6	0.577	1	7	Socs3
Ipmk	0.004963151	0.35115153	0.464	0.429	1	7	Ipmk
Abca93	0.008558134	0.266792125	0.518	0.495	1	7	Abca9
Prkch1	0.009021442	0.262471524	0.427	0.39	1	7	Prkch
Fth11	4.71E-29	1.17528471	1	0.997	9.42E-26	8	Fth1
Tmsb4x1	1.32E-22	0.705073639	0.989	0.996	2.64E-19	8	Tmsb4x
Gapdh1	5.91E-20	0.780082971	1	0.998	1.18E-16	8	Gapdh
Prdx1	4.14E-19	2.138597182	0.936	0.889	8.28E-16	8	Prdx1
Pkm1	9.75E-18	0.664736441	0.989	0.881	1.95E-14	8	Pkm
Aldoa1	3.74E-16	0.635256623	0.979	0.956	7.47E-13	8	Aldoa
Mt11	2.06E-15	0.41570165	0.915	0.816	4.11E-12	8	Mt1
Pgk11	8.89E-15	0.675639671	0.936	0.85	1.78E-11	8	Pgk1
Ftl11	1.59E-13	1.113295709	1	0.997	3.17E-10	8	Ftl1
Mif1	3.59E-12	0.917933603	0.904	0.876	7.18E-09	8	Mif
Pgam11	1.81E-11	0.524412363	0.915	0.819	3.61E-08	8	Pgam1
Eno11	3.45E-11	0.43106207	0.936	0.95	6.91E-08	8	Eno1
Fam162a1	3.78E-11	0.670312608	0.766	0.611	7.56E-08	8	Fam162a
Cstb1	6.50E-11	0.695417877	0.904	0.801	1.30E-07	8	Cstb
Prdx52	3.42E-10	0.59918758	0.851	0.861	6.84E-07	8	Prdx5
Capg1	1.79E-09	0.546777456	0.723	0.525	3.59E-06	8	Capg
Fabp51	4.76E-09	1.086876555	0.755	0.661	9.52E-06	8	Fabp5
Grhpr1	5.30E-09	0.535795561	0.553	0.389	1.06E-05	8	Grhpr
Anxa21	5.96E-09	0.356948956	0.777	0.635	1.19E-05	8	Anxa2
Tpi11	2.56E-08	0.688351023	0.84	0.85	5.12E-05	8	Tpi1
Syngr12	3.56E-08	0.588714976	0.809	0.8	7.12E-05	8	Syngr1
Bnip31	9.64E-08	0.545308666	0.766	0.65	0.000192765	8	Bnip3
Ldha1	1.41E-07	0.505439785	0.894	0.92	0.000282248	8	Ldha
Ass1	1.19E-06	0.348464246	0.426	0.283	0.002389124	8	Ass1
Ftl1-ps11	1.33E-06	1.076940261	0.745	0.724	0.002651593	8	Ftl1-ps1
Cd681	2.05E-06	0.469174387	0.904	0.915	0.004092677	8	Cd68
Hmox11	2.80E-06	2.280288106	0.851	0.812	0.005596953	8	Hmox1
Srxn1	3.97E-06	0.443204405	0.415	0.297	0.00794798	8	Srxn1
Cd631	6.74E-06	0.479515279	0.936	0.949	0.013482503	8	Cd63
Bsg1	1.26E-05	0.471799852	0.862	0.882	0.025185561	8	Bsg
Scimp	2.31E-05	0.308022937	0.383	0.316	0.046185252	8	Scimp
Igf11	2.94E-05	0.481489421	0.681	0.645	0.058739333	8	Igf1
Gclm	3.68E-05	1.223446498	0.606	0.497	0.073573559	8	Gclm
Ccl6	5.19E-05	0.417554	0.734	0.631	0.103767814	8	Ccl6
Spp1	6.11E-05	1.280093818	0.606	0.602	0.12213983	8	Spp1
Anxa51	7.38E-05	0.38409877	0.691	0.595	0.147571393	8	Anxa5
Hist1h2bc	0.000119605	0.49528682	0.596	0.544	0.239210405	8	Hist1h2bc
Lgals11	0.000144788	0.59819646	0.553	0.492	0.289575076	8	Lgals1
Cst73	0.000243859	0.569678641	0.713	0.717	0.487718981	8	Cst7
Txn1	0.000931957	0.483314261	0.66	0.641	1	8	Txn1
Scd21	0.001563843	0.375268428	0.468	0.45	1	8	Scd2
Sod2	0.001976903	0.364265356	0.628	0.597	1	8	Sod2
Eif4ebp11	0.002186895	0.377357754	0.67	0.682	1	8	Eif4ebp1
Gm16731	0.002256317	0.322529777	0.543	0.511	1	8	Gm1673
Lpl1	0.003198722	0.266737663	0.702	0.721	1	8	Lpl
Ctsd4	0.004783773	0.264352791	0.989	0.939	1	8	Ctsd
Blvrb1	0.00498824	0.686643851	0.649	0.636	1	8	Blvrb
Cd92	0.005079841	0.254652888	0.947	0.878	1	8	Cd9
Uchl11	0.00527109	0.298976234	0.234	0.352	1	8	Uchl1
Apoc12	0.007195848	0.847243421	0.628	0.653	1	8	Apoc1
Dstn1	0.007449831	0.265329402	0.628	0.594	1	8	Dstn
H2-Eb2	1.30E-142	0.781935227	0.987	0.073	2.61E-139	9	H2-Eb2
Gpr1711	3.67E-133	1.19503781	1	0.06	7.35E-130	9	Gpr171
Igkv1-1171	2.50E-128	1.786564779	0.961	0.076	4.99E-125	9	Igkv1-117
B3gnt51	3.11E-126	0.73501284	0.974	0.064	6.23E-123	9	B3gnt5
P2ry10	2.11E-120	0.569425094	0.974	0.061	4.22E-117	9	P2ry10
Ighv1-261	1.10E-116	1.029481076	0.974	0.067	2.19E-113	9	Ighv1-26
Il12a1	1.22E-109	0.334012692	0.961	0.086	2.44E-106	9	Il12a
Gm83691	2.13E-109	1.157392056	0.974	0.091	4.25E-106	9	Gm8369
Spib1	4.29E-95	0.496033606	0.934	0.065	8.58E-92	9	Spib
Vpreb31	3.47E-94	0.520873195	0.974	0.094	6.95E-91	9	Vpreb3
Iglc31	8.44E-88	1.592379281	0.934	0.081	1.69E-84	9	Iglc3
Cd551	7.58E-87	1.339697447	0.974	0.099	1.52E-83	9	Cd55
Cd79a1	3.07E-86	1.909352658	0.974	0.097	6.14E-83	9	Cd79a
Fcrla1	3.25E-85	1.065911279	0.921	0.08	6.50E-82	9	Fcrla
Ly6d1	5.58E-85	1.176386888	0.961	0.096	1.12E-81	9	Ly6d
Ms4a11	1.04E-79	1.210634483	0.934	0.088	2.08E-76	9	Ms4a1
Tmem163	6.03E-77	0.678633599	0.895	0.053	1.21E-73	9	Tmem163
Kmo	3.16E-76	0.340081119	0.961	0.152	6.32E-73	9	Kmo
Zfp2961	2.66E-73	1.101994087	0.974	0.117	5.32E-70	9	Zfp296
Lamb3	1.34E-71	0.585811632	0.974	0.215	2.69E-68	9	Lamb3
Mzb11	1.90E-68	1.347847627	0.882	0.084	3.80E-65	9	Mzb1
Sh2d2a	6.47E-68	0.375086986	0.816	0.037	1.29E-64	9	Sh2d2a
Cyfip21	1.49E-67	0.802634433	0.961	0.149	2.99E-64	9	Cyfip2
Fam189b1	3.22E-67	0.288678114	0.947	0.164	6.43E-64	9	Fam189b
Mndal1	1.79E-66	0.512909076	0.961	0.181	3.57E-63	9	Mndal
H2-Aa1	4.76E-66	2.785195417	0.987	0.173	9.52E-63	9	H2-Aa
Iglc21	6.72E-65	1.918873911	0.855	0.061	1.34E-61	9	Iglc2
Fam122b	1.04E-63	0.397227555	0.974	0.273	2.07E-60	9	Fam122b
Ebf11	3.48E-60	1.410031459	0.961	0.136	6.95E-57	9	Ebf1
Serpinb1a1	3.62E-59	0.863222746	0.882	0.094	7.24E-56	9	Serpinb1a
H2-Eb11	1.06E-58	2.441696405	1	0.218	2.13E-55	9	H2-Eb1
Igkc1	1.85E-56	1.232966505	0.842	0.069	3.69E-53	9	Igkc
Card111	1.17E-55	0.45458464	0.974	0.284	2.35E-52	9	Card11
Mreg1	4.45E-54	0.29390909	0.974	0.283	8.90E-51	9	Mreg
Uhrf1	1.64E-53	0.296011649	0.974	0.24	3.28E-50	9	Uhrf1
Ighd1	2.13E-51	1.1781966	1	0.372	4.26E-48	9	Ighd
Itga41	1.26E-50	0.97655155	0.987	0.299	2.52E-47	9	Itga4
Gpr132	1.37E-49	1.07103594	0.947	0.14	2.74E-46	9	Gpr132
Cpm1	4.48E-49	0.391406418	0.868	0.113	8.97E-46	9	Cpm
Plp21	1.47E-48	0.968014934	0.974	0.299	2.95E-45	9	Plp2
Atp1b11	9.13E-48	0.573567206	0.987	0.241	1.83E-44	9	Atp1b1
Napsa1	1.07E-47	1.393970174	0.934	0.229	2.14E-44	9	Napsa
Slc1a51	5.81E-47	0.67513477	0.974	0.294	1.16E-43	9	Slc1a5
Traf1	8.69E-47	0.378928897	0.974	0.348	1.74E-43	9	Traf1
Ccr71	3.21E-46	1.5932905	0.947	0.248	6.42E-43	9	Ccr7
Adgre51	5.41E-45	0.572477363	0.987	0.242	1.08E-41	9	Adgre5
Cd741	6.12E-45	2.30662667	1	0.75	1.22E-41	9	Cd74
Nr4a2	7.87E-45	0.771526393	0.961	0.32	1.57E-41	9	Nr4a2
Gramd31	1.59E-44	0.386414012	0.974	0.327	3.19E-41	9	Gramd3
S1pr41	1.01E-43	0.523396517	0.947	0.328	2.03E-40	9	S1pr4
Blk1	3.15E-43	1.318917755	0.789	0.071	6.30E-40	9	Blk
Sfn	3.39E-43	0.467708183	0.75	0.05	6.77E-40	9	Sfn
Slamf71	3.56E-42	0.67934803	0.961	0.298	7.13E-39	9	Slamf7
Dnase1l3	3.22E-40	0.288596095	0.934	0.256	6.44E-37	9	Dnase1l3
Ly6a	6.03E-40	0.960770919	0.961	0.44	1.21E-36	9	Ly6a
H2-Ab11	1.08E-39	1.549682156	1	0.567	2.16E-36	9	H2-Ab1
Ablim11	1.20E-39	1.082556343	0.961	0.301	2.40E-36	9	Ablim1
H2-DMb21	1.68E-39	1.313908863	0.947	0.378	3.35E-36	9	H2-DMb2
Fam49a	9.69E-38	0.310544531	0.961	0.353	1.94E-34	9	Fam49a
Ifi2031	1.14E-37	0.482288308	0.882	0.15	2.28E-34	9	Ifi203
Mdm11	1.44E-37	0.948039107	0.961	0.3	2.88E-34	9	Mdm1
Plac81	1.58E-37	1.442528681	0.947	0.266	3.16E-34	9	Plac8
Cytip1	3.00E-37	1.43687433	0.974	0.407	6.01E-34	9	Cytip
Mirt11	1.01E-36	0.511240476	0.895	0.248	2.02E-33	9	Mirt1
Mcm71	1.09E-36	0.482930857	0.961	0.362	2.18E-33	9	Mcm7
Helz2	1.22E-36	0.517127576	0.868	0.174	2.43E-33	9	Helz2
Ccnd21	1.62E-35	0.419479428	0.895	0.211	3.24E-32	9	Ccnd2
Sp1401	1.93E-35	1.403260945	0.974	0.491	3.85E-32	9	Sp140
Ahr	2.70E-35	0.503099352	0.934	0.293	5.40E-32	9	Ahr
Ptma1	4.00E-35	1.100594016	1	0.963	7.99E-32	9	Ptma
Foxp11	6.79E-35	1.106952355	0.987	0.445	1.36E-31	9	Foxp1
Chchd101	9.86E-35	0.686277808	0.987	0.389	1.97E-31	9	Chchd10
Gimap91	2.08E-34	0.340716374	0.921	0.244	4.17E-31	9	Gimap9
Mcm31	5.37E-34	0.35208697	0.987	0.403	1.07E-30	9	Mcm3
Ets11	1.41E-33	1.236118691	0.987	0.407	2.82E-30	9	Ets1
Tmsb102	2.07E-33	1.392434862	1	0.762	4.15E-30	9	Tmsb10
Nr4a3	3.32E-31	0.4043767	0.895	0.273	6.64E-28	9	Nr4a3
Csrp21	4.32E-31	0.361447742	0.934	0.367	8.63E-28	9	Csrp2
Stk17b1	5.12E-31	1.225458124	0.947	0.508	1.02E-27	9	Stk17b
Cd691	5.28E-31	1.22374162	0.908	0.32	1.06E-27	9	Cd69
Myo1g	5.60E-31	0.275815411	0.961	0.291	1.12E-27	9	Myo1g
Cd79b1	1.72E-30	0.868166257	0.974	0.521	3.44E-27	9	Cd79b
Adm2	2.14E-30	0.25946529	0.974	0.403	4.28E-27	9	Adm
Egr31	2.20E-30	0.94666022	0.921	0.368	4.41E-27	9	Egr3
Cnn31	2.78E-30	0.661906749	0.908	0.339	5.55E-27	9	Cnn3
Ptprcap1	5.50E-30	1.134458539	0.868	0.171	1.10E-26	9	Ptprcap
Crip11	1.35E-29	1.380531149	0.947	0.462	2.70E-26	9	Crip1
Rel3	1.62E-29	1.263613652	1	0.721	3.23E-26	9	Rel
Dnajc71	1.73E-29	1.18971301	1	0.645	3.46E-26	9	Dnajc7
Lsp11	2.13E-29	1.093447109	1	0.741	4.26E-26	9	Lsp1
Sp1001	4.70E-29	1.060233306	0.934	0.4	9.39E-26	9	Sp100
1810032O08Rik2	2.48E-28	0.379749794	0.987	0.492	4.95E-25	9	1810032O08Rik
Cd191	6.27E-28	0.885672821	0.737	0.081	1.25E-24	9	Cd19
Kcnq1ot11	8.20E-28	0.329501396	0.961	0.34	1.64E-24	9	Kcnq1ot1
Samhd11	1.08E-27	0.928708031	0.974	0.491	2.17E-24	9	Samhd1
Il2rg1	1.47E-27	0.905485292	0.961	0.439	2.94E-24	9	Il2rg
Sec631	1.67E-27	0.35744489	0.961	0.39	3.35E-24	9	Sec63
AB124611	5.69E-27	0.87639012	0.987	0.501	1.14E-23	9	AB124611
Pdcd1lg2	1.87E-26	0.46090336	0.776	0.181	3.75E-23	9	Pdcd1lg2
H2-Q6	2.74E-26	0.426515948	0.947	0.367	5.48E-23	9	H2-Q6
Xaf11	3.04E-26	0.373762154	0.987	0.522	6.09E-23	9	Xaf1
Gimap61	1.37E-25	1.227437121	0.882	0.447	2.74E-22	9	Gimap6
Ifi2091	3.08E-25	0.538962895	0.934	0.45	6.15E-22	9	Ifi209
Igkv10-96	5.44E-25	1.378742115	0.276	0.04	1.09E-21	9	Igkv10-96
